City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
527,San Cristobal,VE,86.18,broken clouds,7.7669,-72.225,Posada Villaven C.A.
528,Bac Lieu,VN,78.64,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
531,Sao Filipe,CV,76.05,overcast clouds,14.8961,-24.4956,Hotel Xaguate
536,Samarai,PG,78.12,overcast clouds,-10.6167,150.6667,Nuli Sapi
537,Ashqelon,IL,83.41,clear sky,31.6693,34.5715,Leonardo Ashkelon
543,Belgrade,RS,82.06,clear sky,44.804,20.4651,Saruna Wellness - Hotel Park Belgrade
554,Riberalta,BO,86.2,clear sky,-10.9833,-66.1,Hotel Colonial
555,Dumka,IN,79.27,moderate rain,24.2667,87.25,"Hotel Shashwat , Sri Shyam Plaza ,Dumka"
557,Mabaruma,GY,85.71,clear sky,8.2,-59.7833,Monty Brooms Guest House
560,Mahibadhoo,MV,82.98,overcast clouds,3.7833,72.9667,Omadhoo Inn
572,Jizan,SA,77.94,overcast clouds,17.3333,42.6667,شهدان. ابوالحجر
574,Dingle,PH,77.77,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
578,Lamu,KE,75.42,overcast clouds,-2.2717,40.902,Lamu House
579,Kerman,IR,84.06,scattered clouds,30.2832,57.0788,هتل آپارتمان آسام
581,Sechura,PE,78.15,clear sky,-5.5569,-80.8222,Hospedaje Costa Bella
591,Niquero,CU,87.89,few clouds,20.0431,-77.5828,Islazul Niquero
593,Kantang,TH,77.95,light rain,7.4054,99.5156,Reng Ta Chai Boutique HomeStay
594,Port-De-Bouc,FR,78.96,broken clouds,43.4,4.9833,HOTEL RESIDENCE LES AIGUADES
595,Labuan,MY,79.16,few clouds,5.2767,115.2417,Tiara Labuan Hotel
599,Acarau,BR,82.29,overcast clouds,-2.8856,-40.12,castelo pizzaria
600,Cukai,MY,80.74,overcast clouds,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
604,Kudahuvadhoo,MV,82.92,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
608,Casimiro Castillo,MX,89.94,overcast clouds,19.6,-104.4333,Hotel San José
611,Kalianget,ID,79.29,scattered clouds,-7.05,113.9333,Pesanggrahan Garam
626,Komsomolskiy,UZ,81.32,overcast clouds,40.4272,71.7189,Ikathouse
629,Markala,ML,86.5,overcast clouds,13.7021,-6.0659,Famille Abdoulaye Bana DIALLO
631,Puerto Narino,CO,78.75,few clouds,-3.7703,-70.3831,Eware Refugio Amazonico
636,Inuvik,CA,75.96,broken clouds,68.3499,-133.7218,Nova Inn Inuvik
640,Parbatipur,BD,78.35,overcast clouds,25.6649,88.9247,ARMAN Telecom
641,Montgomery,US,84.78,clear sky,39.1501,-77.1997,"Holiday Inn Gaithersburg, an IHG Hotel"
