City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
189,Cayenne,GF,4.9333,-52.3333,87.84,75,20,5.01,few clouds
190,Grand Gaube,MU,-20.0064,57.6608,70.2,80,0,3.0,light rain
191,Weatherford,US,32.7593,-97.7972,100.44,48,7,1.01,clear sky
192,Natal,BR,-5.795,-35.2094,84.42,61,20,19.57,few clouds
193,Bathsheba,BB,13.2167,-59.5167,88.41,66,75,20.71,broken clouds
194,Tymovskoye,RU,50.8456,142.655,57.67,86,100,1.92,overcast clouds
195,Burnie,AU,-41.0667,145.9167,45.28,84,24,10.18,few clouds
196,Mayo,US,38.8876,-76.5119,85.73,55,9,1.99,clear sky
197,Buala,SB,-8.145,159.5921,78.35,86,100,9.4,light rain
198,Vega De Alatorre,MX,20.0333,-96.6333,86.11,63,100,8.39,overcast clouds
199,Haines Junction,CA,60.7522,-137.5108,71.55,43,7,2.3,clear sky
200,Faya,SA,18.3851,42.4509,64.51,84,100,8.55,overcast clouds
201,Itainopolis,BR,-7.4469,-41.4783,86.97,41,35,13.53,scattered clouds
202,Boyolangu,ID,-8.1181,111.8935,74.32,89,86,6.31,overcast clouds
203,Niamey,NE,13.5137,2.1098,86.29,62,20,9.22,few clouds
204,Camana,PE,-16.6228,-72.7111,64.92,74,26,9.51,scattered clouds
205,Cotonou,BJ,6.3654,2.4183,80.58,83,40,12.66,scattered clouds
206,Katobu,ID,-4.9408,122.5276,73.56,94,100,3.44,heavy intensity rain
207,Bethel,US,41.3712,-73.414,77.72,54,75,1.01,broken clouds
208,Kimbe,PG,-5.5502,150.1429,73.67,92,100,4.68,overcast clouds
209,Khatanga,RU,71.9667,102.5,67.19,44,100,13.65,overcast clouds
210,Mount Gambier,AU,-37.8333,140.7667,40.91,93,9,6.91,clear sky
211,Karak,JO,31.1667,35.75,75.92,32,0,5.77,clear sky
212,Eureka,US,40.8021,-124.1637,98.74,74,70,5.01,broken clouds
213,Tezu,IN,27.9167,96.1667,76.3,99,97,1.86,overcast clouds
214,Kirakira,SB,-10.4544,161.9205,75.04,82,100,6.38,overcast clouds
215,Port Elizabeth,ZA,-33.918,25.5701,56.1,76,40,3.44,scattered clouds
216,Harper,LR,4.375,-7.7169,76.84,84,99,12.48,light rain
217,Poya,NC,-21.35,165.15,64.13,61,49,7.65,scattered clouds
218,Tuy Hoa,VN,13.0833,109.3,82.58,69,100,11.01,overcast clouds
219,Bandarbeyla,SO,9.4942,50.8122,76.05,82,100,25.95,overcast clouds
220,Tobermory,CA,45.2501,-81.6665,59.31,82,98,17.36,light rain
221,Cabo San Lucas,MX,22.8909,-109.9124,99.81,65,40,5.01,scattered clouds
222,Tingi,TZ,-11.3,35.0333,58.57,78,67,4.9,broken clouds
223,Ponta Do Sol,PT,32.6667,-17.1,72.23,66,3,7.74,clear sky
224,Broome,US,42.2506,-75.833,73.71,55,20,1.01,few clouds
225,Nevel,RU,56.0209,29.9284,61.39,75,100,3.44,overcast clouds
226,Pevek,RU,69.7008,170.3133,35.87,79,86,2.82,overcast clouds
227,Usinsk,RU,65.9939,57.5281,56.25,70,100,9.55,overcast clouds
228,Longyearbyen,SJ,78.2186,15.6401,44.44,70,75,13.8,broken clouds
